Sex,Location,Year,Mortality,2015,2016,2017,2018,2019,Mean_Mortality,STD,Z-Score(95%),Conf_interval,Lower_bound_Mean_mortality,Upper_bound_Mean_mortality,Excess_mortality_Mean,Excess_mortality_fluc,P_Score,P_score_fluctuation,Mean Mortality ±,Excess Mortality ±,P_score ±,Population,Excess_mortality_per_10^5,Excess_mortality_per_10^5_fluc,Excess_mortality_per_10^5_±
Female,Austria,2020,211.0,171.0,165.0,175.0,208.0,156.0,178.2,17.7,1.96,15.5,162.7,193.7,32.8,15.5,18.4,9.5,178.2 (±15.5),32.8 (±15.5),18.4% (±9.5%),298547,11.0,5.2,11.0(±5.2)
Female,Austria,2020,211.0,171.0,165.0,175.0,208.0,156.0,178.2,17.7,1.96,15.5,162.7,193.7,32.8,15.5,18.4,9.5,178.2 (±15.5),32.8 (±15.5),18.4% (±9.5%),302843,10.8,5.1,10.8(±5.1)
Female,Belgium,2020,286.0,301.0,271.0,304.0,284.0,265.0,291.40000000000015,15.6,1.96,13.7,277.70000000000016,305.10000000000014,-5.4,13.7,-1.9,4.4,291.4 (±13.7),-5.4 (±13.7),-1.9% (±4.4%),373486,-1.4,3.6,-1.4(±3.6)
Female,Belgium,2020,286.0,301.0,271.0,304.0,284.0,265.0,291.40000000000015,15.6,1.96,13.7,277.70000000000016,305.10000000000014,-5.4,13.7,-1.9,4.4,291.4 (±13.7),-5.4 (±13.7),-1.9% (±4.4%),375612,-1.4,3.6,-1.4(±3.6)
Female,Bulgaria,2020,309.0,328.0,296.0,293.0,305.0,299.0,313.00000000000006,12.5,1.96,11.0,302.00000000000006,324.00000000000006,-4.0,11.0,-1.3,3.3,313.0 (±11.0),-4.0 (±11.0),-1.3% (±3.3%),231707,-1.7,4.7,-1.7(±4.7)
Female,Bulgaria,2020,309.0,328.0,296.0,293.0,305.0,299.0,313.00000000000006,12.5,1.96,11.0,302.00000000000006,324.00000000000006,-4.0,11.0,-1.3,3.3,313.0 (±11.0),-4.0 (±11.0),-1.3% (±3.3%),231040,-1.7,4.7,-1.7(±4.7)
Female,Croatia,2020,101.0,110.0,92.0,97.0,94.0,95.0,98.4,6.4,1.96,5.6,92.80000000000001,104.0,2.6,5.6,2.6,5.5,98.4 (±5.6),2.6 (±5.6),2.6% (±5.5%),123938,2.1,4.5,2.1(±4.5)
Female,Croatia,2020,101.0,110.0,92.0,97.0,94.0,95.0,98.4,6.4,1.96,5.6,92.80000000000001,104.0,2.6,5.6,2.6,5.5,98.4 (±5.6),2.6 (±5.6),2.6% (±5.5%),136636,1.9,4.1,1.9(±4.1)
Female,Cyprus,2020,19.0,21.0,10.0,18.0,21.0,24.0,19.599999999999994,4.8,1.96,4.2,15.399999999999995,23.799999999999994,-0.6,4.2,-3.1,17.1,19.6 (±4.2),-0.6 (±4.2),-3.1% (±17.1%),37796,-1.6,11.1,-1.6(±11.1)
Female,Cyprus,2020,19.0,21.0,10.0,18.0,21.0,24.0,19.599999999999994,4.8,1.96,4.2,15.399999999999995,23.799999999999994,-0.6,4.2,-3.1,17.1,19.6 (±4.2),-0.6 (±4.2),-3.1% (±17.1%),34657,-1.7,12.1,-1.7(±12.1)
